,Image,Detection,Confidence,TP,FP,TN,Acc TP,Acc FP,Acc TN,Recall,Specificity,FPR
0,Image1858,jagannatha temple,100.0,0,1,0,0,1,0,0.0,0.0,1.0
1,Image1463,kasthamandap,100.0,1,0,2,1,1,2,0.00026968716289104636,0.6666666666666666,0.33333333333333337
2,Image60,degu tale temple_KDS,100.0,1,0,2,2,1,4,0.0005393743257820927,0.8,0.19999999999999996
3,Image1048,jagannatha temple,100.0,1,0,2,3,1,6,0.0008090614886731392,0.8571428571428571,0.1428571428571429
4,Image412,garud,100.0,1,0,1,4,1,7,0.0010787486515641855,0.875,0.125
5,Image677,bhimeleshvara,100.0,1,0,2,5,1,9,0.001348435814455232,0.9,0.09999999999999998
6,Image681,garud,100.0,1,0,1,6,1,10,0.0016181229773462784,0.9090909090909091,0.09090909090909094
7,Image1046,jagannatha temple,100.0,1,0,2,7,1,12,0.0018878101402373248,0.9230769230769231,0.07692307692307687
8,Image1997,bhuvana lakshmeshvara,100.0,1,0,1,8,1,13,0.002157497303128371,0.9285714285714286,0.0714285714285714
9,Image1452,lalitpur tower,100.0,1,0,1,9,1,14,0.0024271844660194173,0.9333333333333333,0.06666666666666665
10,Image65,chasin dega,100.0,1,0,0,10,1,14,0.002696871628910464,0.9333333333333333,0.06666666666666665
11,Image690,kasthamandap,100.0,1,0,2,11,1,16,0.0029665587918015104,0.9411764705882353,0.05882352941176472
12,Image273,jagannatha temple,100.0,1,0,3,12,1,19,0.003236245954692557,0.95,0.050000000000000044
13,Image1992,bhairavnath temple,100.0,1,0,1,13,1,20,0.003505933117583603,0.9523809523809523,0.04761904761904767
14,Image1989,narayan temple,100.0,1,0,0,14,1,20,0.0037756202804746495,0.9523809523809523,0.04761904761904767
15,Image1988,narayan temple,100.0,1,0,1,15,1,21,0.0040453074433656954,0.9545454545454546,0.045454545454545414
16,Image272,jagannatha temple,100.0,1,0,3,16,1,24,0.004314994606256742,0.96,0.040000000000000036
17,Image703,kavindrapura sattal,100.0,1,0,1,17,1,25,0.004584681769147788,0.9615384615384616,0.038461538461538436
18,Image1041,chasin dega,100.0,1,0,0,18,1,25,0.0048543689320388345,0.9615384615384616,0.038461538461538436
19,Image1459,trailokya mohan,100.0,1,0,1,19,1,26,0.005124056094929882,0.9629629629629629,0.03703703703703709
20,Image947,trailokya mohan,100.0,1,0,1,20,1,27,0.005393743257820928,0.9642857142857143,0.0357142857142857
21,Image1525,gaddi durbar,100.0,1,0,0,21,1,27,0.0056634304207119745,0.9642857142857143,0.0357142857142857
22,Image1656,bhaktapur tower,100.0,1,0,1,22,1,28,0.005933117583603021,0.9655172413793104,0.03448275862068961
23,Image638,kumari ghar,100.0,1,0,0,23,1,28,0.006202804746494067,0.9655172413793104,0.03448275862068961
24,Image647,bhimeleshvara,100.0,1,0,2,24,1,30,0.006472491909385114,0.967741935483871,0.032258064516129004
25,Image648,bhimeleshvara,100.0,1,0,2,25,1,32,0.00674217907227616,0.9696969696969697,0.030303030303030276
26,Image649,bhimeleshvara,100.0,1,0,2,26,1,34,0.007011866235167206,0.9714285714285714,0.02857142857142858
27,Image1075,indrapura,100.0,1,0,3,27,1,37,0.007281553398058253,0.9736842105263158,0.02631578947368418
28,Image1162,gopinath krishna temple,100.0,1,0,2,28,1,39,0.007551240560949299,0.975,0.025000000000000022
29,Image1073,kala-bhairava,100.0,1,0,3,29,1,42,0.007820927723840345,0.9767441860465116,0.023255813953488413
30,Image651,trailokya mohan,100.0,1,0,2,30,1,44,0.008090614886731391,0.9777777777777777,0.022222222222222254
31,Image1068,bhuvana lakshmeshvara,100.0,1,0,1,31,1,45,0.008360302049622438,0.9782608695652174,0.021739130434782594
32,Image652,bhimeleshvara,100.0,1,0,2,32,1,47,0.008629989212513484,0.9791666666666666,0.02083333333333337
33,Image1648,jagannatha temple,100.0,1,0,3,33,1,50,0.00889967637540453,0.9803921568627451,0.019607843137254943
34,Image1486,degu tale temple_KDS,100.0,1,0,1,34,1,51,0.009169363538295576,0.9807692307692307,0.019230769230769273
35,Image654,garud,100.0,1,0,1,35,1,52,0.009439050701186624,0.9811320754716981,0.018867924528301883
36,Image656,trailokya mohan,100.0,1,0,2,36,1,54,0.009708737864077669,0.9818181818181818,0.018181818181818188
37,Image1469,jagannatha temple,100.0,1,0,4,37,1,58,0.009978425026968716,0.9830508474576272,0.016949152542372836
38,Image1063,narayan temple,100.0,1,0,2,38,1,60,0.010248112189859764,0.9836065573770492,0.016393442622950838
39,Image1655,bhaktapur tower,100.0,1,0,1,39,1,61,0.010517799352750809,0.9838709677419355,0.016129032258064502
40,Image704,kavindrapura sattal,100.0,1,0,1,40,1,62,0.010787486515641856,0.9841269841269841,0.015873015873015928
41,Image1703,trailokya mohan,100.0,0,1,0,40,2,62,0.010787486515641856,0.96875,0.03125
42,Image1987,narayan temple,100.0,1,0,1,41,2,63,0.011057173678532902,0.9692307692307692,0.03076923076923077
43,Image1196,gopinath krishna temple,100.0,1,0,1,42,2,64,0.011326860841423949,0.9696969696969697,0.030303030303030276
44,Image178,golden gate,100.0,1,0,3,43,2,67,0.011596548004314994,0.9710144927536232,0.02898550724637683
45,Image1270,badrinath temple,100.0,1,0,2,44,2,69,0.011866235167206042,0.971830985915493,0.028169014084507005
46,Image1875,palace of the 55 windows,100.0,1,0,3,45,2,72,0.012135922330097087,0.972972972972973,0.027027027027026973
47,Image905,kumari ghar,100.0,1,0,0,46,2,72,0.012405609492988134,0.972972972972973,0.027027027027026973
48,Image1266,vastala temple,100.0,1,0,4,47,2,76,0.01267529665587918,0.9743589743589743,0.02564102564102566
49,Image170,chayasilin mandap,100.0,1,0,4,48,2,80,0.012944983818770227,0.975609756097561,0.024390243902439046
50,Image1890,narayan temple,100.0,1,0,1,49,2,81,0.013214670981661273,0.9759036144578314,0.02409638554216864
