epoch,conf_accuracy,conf_loss,loc_accuracy,loc_loss,loss,lr,val_conf_accuracy,val_conf_loss,val_loc_accuracy,val_loc_loss,val_loss
0,0.986327231,4.890597343,0.180403605,1.359920144,6.250515461,0.001,0.990424693,39.14110565,0.183904126,9.731009483,48.87213135
1,0.990810096,3.686001539,0.210355669,0.997448385,4.683449268,0.001,0.990398824,29.81168175,0.212033227,5.824095726,35.63577271
2,0.991292834,3.127937078,0.224959701,0.864652216,3.992590666,0.001,0.98921293,17.23490715,0.189980313,3.275818825,20.51072693
3,0.991720796,2.732504845,0.214925855,0.803062916,3.53556776,0.001,0.989791334,11.89593506,0.201728553,2.754017591,14.6499548
4,0.992276847,2.366492748,0.202946633,0.737105429,3.103597164,0.001,0.990010083,10.77359962,0.209478602,2.40741539,13.18101215
5,0.992769897,2.078010559,0.240091816,0.681842983,2.759854317,0.001,0.989898443,11.88349152,0.194312513,2.072908401,13.95639706
6,0.993352652,1.79787457,0.244613707,0.635149777,2.433025122,0.001,0.99028188,10.94865608,0.153201371,2.322336674,13.27099323
7,0.993848443,1.573083997,0.236557767,0.592138708,2.165223598,0.001,0.990313292,8.054116249,0.223517179,1.920268416,9.974384308
8,0.994343996,1.366464615,0.213722512,0.548394859,1.914859653,0.001,0.990601778,7.469020844,0.265235811,1.54094243,9.00996685
9,0.994774044,1.193340421,0.250080168,0.513348818,1.706689,0.001,0.990746737,7.981128216,0.279710799,1.914005518,9.895134926
10,0.995205522,1.04414022,0.234141186,0.482672572,1.526813149,0.001,0.990653932,9.80796814,0.263891459,3.944297314,13.75226974
11,0.995473087,0.948050082,0.195489153,0.460922182,1.40897131,0.001,0.990619302,9.637857437,0.312505245,2.496929169,12.13478756
12,0.995796442,0.839908838,0.242857456,0.435904235,1.275813818,0.001,0.990620136,9.400943756,0.257384181,1.793296456,11.19424248
13,0.99605006,0.762626588,0.24448736,0.419031233,1.181657434,0.001,0.990680456,9.44802475,0.280404896,1.790124059,11.23814964
14,0.996340871,0.675754845,0.253592491,0.393431038,1.069185853,0.001,0.990757644,6.707915306,0.238350764,1.49224782,8.200163841
15,0.996564507,0.614861429,0.227119237,0.375522852,0.990383863,0.001,0.991101444,6.033659458,0.205733374,1.364388466,7.398049355
16,0.996774971,0.554687381,0.212177724,0.358556002,0.913243413,0.001,0.991254568,5.040422916,0.300481588,1.292763829,6.333187103
17,0.996969938,0.505248308,0.230037332,0.344102621,0.849350989,0.001,0.990701616,7.395673752,0.227192476,1.512277722,8.907953262
18,0.997075915,0.484376341,0.240460962,0.339856178,0.82423228,0.001,0.99081856,6.951648712,0.199866533,1.477627039,8.429274559
19,0.997246385,0.433652461,0.221853331,0.322110593,0.755762696,0.001,0.991564393,4.685473919,0.298004359,1.02709651,5.712570667
20,0.997411847,0.394965231,0.246260107,0.304128408,0.699093521,0.001,0.991561651,5.001542091,0.167834178,1.332902312,6.334444523
21,0.997591555,0.355491579,0.209371164,0.292718321,0.648209929,0.001,0.992038071,4.40355444,0.258888692,1.134818912,5.538373947
22,0.997591436,0.359501094,0.218481109,0.296662301,0.656163454,0.001,0.991688192,5.443238735,0.21795696,1.217720628,6.66095829
23,0.997641444,0.339099497,0.196863741,0.287864268,0.626963973,0.001,0.991819322,4.726383686,0.140137658,0.966681242,5.693065166
24,0.997709274,0.325025707,0.212680116,0.283471525,0.608497202,0.001,0.992397904,4.167105198,0.216835424,1.016703844,5.183809757
25,0.997844696,0.296802163,0.22645916,0.268852055,0.56565398,0.001,0.992581367,4.071660995,0.207800686,0.977285147,5.048945904
