class,filename
badrinath temple,650
basantapur tower,953
bhagavati temple,666
bhairavnath temple,673
bhaktapur tower,708
bhimeleshvara,779
bhimsen temple,812
bhupatindra malla column,1099
bhuvana lakshmeshvara,1093
chasin dega,679
chayasilin mandap,878
dattatreya temple,725
degu tale,34
degu tale temple_KDS,519
degutale temple,158
fasidega temple,662
gaddi durbar,1013
garud,767
golden gate,892
gopinath krishna temple,1296
hanuman idol,628
indrapura,892
jagannatha temple,854
kala-bhairava,880
kasthamandap,778
kavindrapura sattal,702
kedamatha tirtha,695
king statue,49
kirtipur tower,640
kotilingeshvara,33
kritipur tower,16
kumari ghar,961
lalitpur tower,802
mahadev temple,700
narayan temple,883
national gallery,841
nyatapola temple,709
palace of the 55 windows,1154
panchamukhi hanuman,729
pratap malla column,646
shiva temple,614
shveta bhairava,711
siddhi lakshmi temple,804
simha sattal,690
taleju bell_BDS,679
taleju bell_KDS,703
taleju temple,935
til mahadev narayan temple,25
trailokya mohan,1254
vastala temple,943
vishnu temple,862
