class,filename
badrinath temple,424
basantapur tower,528
bhagavati temple,454
bhairavnath temple,570
bhaktapur tower,445
bhimeleshvara,431
bhimsen temple,387
bhupatindra malla column,962
bhuvana lakshmeshvara,1060
chasin dega,526
chayasilin mandap,726
dattatreya temple,480
degu tale temple_KDS,379
degutale temple,158
fasidega temple,441
gaddi durbar,749
garud,481
golden gate,857
gopinath krishna temple,887
hanuman idol,427
indrapura,764
jagannatha temple,689
kala-bhairava,679
kasthamandap,573
kavindrapura sattal,495
kedamatha tirtha,441
king statue,37
kirtipur tower,271
kotilingeshvara,33
kritipur tower,16
kumari ghar,842
lalitpur tower,488
mahadev temple,442
narayan temple,788
national gallery,806
nyatapola temple,554
palace of the 55 windows,1032
panchamukhi hanuman,504
pratap malla column,508
shiva temple,520
shveta bhairava,466
siddhi lakshmi temple,713
simha sattal,548
taleju bell_BDS,558
taleju bell_KDS,497
taleju temple,836
til mahadev narayan temple,14
trailokya mohan,907
vastala temple,801
vishnu temple,848
