class,filename
badrinath temple,62
basantapur tower,80
bhagavati temple,52
bhairavnath temple,12
bhimeleshvara,128
bhimsen temple,9
bhupatindra malla column,263
bhuvana lakshmeshvara,60
chasin dega,38
chayasilin mandap,192
dattatreya temple,5
degu tale temple,13
gaddi durbar,148
garud,75
golden gate,90
gopinath krishna temple,283
hanuman idol,18
indrapura,9
jagannatha temple,61
kala-bhairava,31
kasthamandap,128
kavindrapura sattal,50
kedamatha tirtha,105
kumari ghar,78
lalitpur tower,86
mahadev temple,159
narayan temple,89
national gallery,140
nyatapola temple,38
palace of the 55 windows,190
pratap malla column,28
shiva temple,58
shveta bhairava,32
siddhi lakshmi temple,167
simha sattal,66
taleju bell_BDS,131
taleju bell_KDS,28
taleju temple,72
trailokya mohan,156
vastala temple,245
vishnu temple,57
