class,filename
badrinath temple,86
basantapur tower,214
bhagavati temple,90
bhairavnath temple,68
bhaktapur tower,18
bhimeleshvara,177
bhimsen temple,42
bhupatindra malla column,401
bhuvana lakshmeshvara,158
chasin dega,54
chayasilin mandap,337
dattatreya temple,53
degu tale temple_KDS,56
fasidega temple,49
gaddi durbar,299
garud,116
golden gate,143
gopinath krishna temple,341
hanuman idol,19
indrapura,72
jagannatha temple,149
kala-bhairava,102
kasthamandap,186
kavindrapura sattal,50
kedamatha tirtha,120
kirtipur tower,23
kumari ghar,153
lalitpur tower,152
mahadev temple,206
narayan temple,175
national gallery,182
nyatapola temple,126
palace of the 55 windows,343
panchamukhi hanuman,41
pratap malla column,79
shiva temple,58
shveta bhairava,64
siddhi lakshmi temple,273
simha sattal,66
taleju bell_BDS,260
taleju bell_KDS,44
taleju temple,149
til mahadev narayan temple,14
trailokya mohan,300
vastala temple,370
vishnu temple,140
