class,filename
badrinath temple,86
basantapur tower,317
bhagavati temple,148
bhairavnath temple,68
bhaktapur tower,45
bhimeleshvara,241
bhimsen temple,42
bhupatindra malla column,401
bhuvana lakshmeshvara,231
chasin dega,88
chayasilin mandap,337
dattatreya temple,53
degu tale temple_KDS,56
degutale temple,62
fasidega temple,49
gaddi durbar,450
garud,157
golden gate,143
gopinath krishna temple,341
hanuman idol,43
indrapura,156
jagannatha temple,254
kala-bhairava,201
kasthamandap,302
kavindrapura sattal,139
kedamatha tirtha,120
king statue,13
kirtipur tower,23
kotilingeshvara,11
kritipur tower,13
kumari ghar,254
lalitpur tower,265
mahadev temple,206
narayan temple,291
national gallery,182
nyatapola temple,126
palace of the 55 windows,343
panchamukhi hanuman,49
pratap malla column,126
shiva temple,102
shveta bhairava,119
siddhi lakshmi temple,273
simha sattal,150
taleju bell_BDS,260
taleju bell_KDS,68
taleju temple,275
til mahadev narayan temple,14
trailokya mohan,481
vastala temple,370
vishnu temple,182
