class,filename
badrinath temple,95
basantapur tower,352
bhagavati temple,148
bhairavnath temple,114
bhaktapur tower,45
bhimeleshvara,243
bhimsen temple,43
bhupatindra malla column,526
bhuvana lakshmeshvara,284
chasin dega,98
chayasilin mandap,506
dattatreya temple,80
degu tale temple_KDS,83
degutale temple,62
fasidega temple,49
gaddi durbar,491
garud,159
golden gate,245
gopinath krishna temple,385
hanuman idol,47
indrapura,190
jagannatha temple,319
kala-bhairava,259
kasthamandap,303
kavindrapura sattal,139
kedamatha tirtha,125
king statue,13
kirtipur tower,25
kotilingeshvara,11
kritipur tower,16
kumari ghar,280
lalitpur tower,296
mahadev temple,242
narayan temple,336
national gallery,228
nyatapola temple,215
palace of the 55 windows,512
panchamukhi hanuman,66
pratap malla column,138
shiva temple,102
shveta bhairava,130
siddhi lakshmi temple,389
simha sattal,150
taleju bell_BDS,362
taleju bell_KDS,69
taleju temple,466
til mahadev narayan temple,14
trailokya mohan,519
vastala temple,516
vishnu temple,226
