class,filename
badrinath temple,2
basantapur tower,150
basantapur towerw,1
bhagavati temple,28
bhairavnath temple,21
bhaktapur tower,15
bhimeleshvara,68
bhimsen temple,17
bhupatindra malla column,23
bhuvana lakshmeshvara,25
chasin dega,48
chayasilin mandap,68
dattatreya temple,61
degu tale,34
fasidega temple,41
gaddi durbar,216
garud,90
golden gate,21
gopinath krishna temple,13
hanuman idol,23
indrapura,46
jagannatha temple,83
kala-bhairava,73
kasthamandap,117
kavindrapura sattal,19
kedamatha tirtha,2
kirtipur tower,5
kumari ghar,114
lalitpur tower,116
mahadev temple,14
narayan temple,69
national gallery,7
nyatapola temple,57
palace of the 55 windows,76
pratap malla column,48
shiva temple,12
shveta bhairava,31
siddhi lakshmi temple,45
simha sattal,24
taleju bell_BDS,27
taleju bell_KDS,16
taleju temple,43
til mahadev narayan temple,11
trailokya mohan,164
vastala temple,32
vishnu temple,10
