class,filename
basantapur tower,103
bhagavati temple,58
bhaktapur tower,27
bhimeleshvara,64
bhuvana lakshmeshvara,73
chasin dega,34
degutale temple,62
gaddi durbar,151
garud,41
hanuman idol,24
indrapura,84
jagannatha temple,105
kala-bhairava,99
kasthamandap,116
kavindrapura sattal,89
king statue,13
kotilingeshvara,11
kritipur tower,13
kumari ghar,101
lalitpur tower,113
narayan temple,116
panchamukhi hanuman,8
pratap malla column,47
shiva temple,44
shveta bhairava,55
simha sattal,84
taleju bell_KDS,24
taleju temple,126
trailokya mohan,181
vishnu temple,42
