,Image,Detections,Confidence %,TP,FP,Acc TP,Acc FP,Precision,Recall
0,Image 1858,jagannatha temple,100.0,0,0,0,0,1.0,0.0
1,Image 1463,kasthamandap,100.0,1,0,1,0,1.0,0.00026968716289104636
2,Image 60,degu tale temple_KDS,100.0,1,0,2,0,1.0,0.0005393743257820927
3,Image 1048,jagannatha temple,100.0,1,0,3,0,1.0,0.0008090614886731392
4,Image 412,garud,100.0,1,0,4,0,1.0,0.0010787486515641855
5,Image 677,bhimeleshvara,100.0,1,0,5,0,1.0,0.001348435814455232
6,Image 681,garud,100.0,1,0,6,0,1.0,0.0016181229773462784
7,Image 1046,jagannatha temple,100.0,1,0,7,0,1.0,0.0018878101402373248
8,Image 1997,bhuvana lakshmeshvara,100.0,1,0,8,0,1.0,0.002157497303128371
9,Image 1452,lalitpur tower,100.0,1,0,9,0,1.0,0.0024271844660194173
10,Image 65,chasin dega,100.0,1,0,10,0,1.0,0.002696871628910464
11,Image 690,kasthamandap,100.0,1,0,11,0,1.0,0.0029665587918015104
12,Image 273,jagannatha temple,100.0,1,0,12,0,1.0,0.003236245954692557
13,Image 1992,bhairavnath temple,100.0,1,0,13,0,1.0,0.003505933117583603
14,Image 1989,narayan temple,100.0,1,0,14,0,1.0,0.0037756202804746495
15,Image 1988,narayan temple,100.0,1,0,15,0,1.0,0.0040453074433656954
16,Image 272,jagannatha temple,100.0,1,0,16,0,1.0,0.004314994606256742
17,Image 703,kavindrapura sattal,100.0,1,0,17,0,1.0,0.004584681769147788
18,Image 1041,chasin dega,100.0,1,0,18,0,1.0,0.0048543689320388345
19,Image 1459,trailokya mohan,100.0,1,0,19,0,1.0,0.005124056094929882
20,Image 947,trailokya mohan,100.0,1,0,20,0,1.0,0.005393743257820928
21,Image 1525,gaddi durbar,100.0,1,0,21,0,1.0,0.0056634304207119745
22,Image 1656,bhaktapur tower,100.0,1,0,22,0,1.0,0.005933117583603021
23,Image 638,kumari ghar,100.0,1,0,23,0,1.0,0.006202804746494067
24,Image 647,bhimeleshvara,100.0,1,0,24,0,1.0,0.006472491909385114
25,Image 648,bhimeleshvara,100.0,1,0,25,0,1.0,0.00674217907227616
26,Image 649,bhimeleshvara,100.0,1,0,26,0,1.0,0.007011866235167206
27,Image 1075,indrapura,100.0,1,0,27,0,1.0,0.007281553398058253
